,ANTONIO_NARINO,BARRIOS_UNIDOS,BOSA,CANDELARIA,CARCELES,CHAPINERO,CIUDAD_BOLIVAR,CORFERIAS,ENGATIVA,FONTIBON,KENNEDY,MARTIRES,PUENTE_ARANDA,RAFAEL_URIBE_URIBE,SAN_CRISTOBAL,SANTA_FE,SUBA,SUMAPAZ,TEUSAQUILLO,TUNJUELITO,USAQUEN,USME,Total Bogota
AICO,26,33,129,19,1,17,79,36,115,71,140,24,53,43,57,17,165,0,55,26,54,61,1221
ASI,37,103,145,58,0,107,133,86,328,141,301,37,123,112,119,69,364,0,198,51,218,84,2814
MAIS,178,149,1079,152,7,108,1087,226,752,355,1293,124,312,625,749,252,919,0,227,323,309,670,9896
SOBERANIA,4,5,18,5,0,6,32,3,27,16,46,4,18,15,22,7,47,0,16,16,12,15,334
MIA,17,28,55,7,0,22,59,18,105,35,108,6,41,45,44,14,79,0,17,28,39,25,792
RenovacionEtnica,29,24,85,6,0,16,88,38,139,63,200,15,61,57,72,20,150,1,18,20,65,55,1222
CASIYOUREN,3,6,21,0,0,12,15,3,34,26,45,3,15,9,11,8,58,0,19,8,28,5,329
Voto_Blanco_Indigena,1546,1640,7002,486,21,843,6509,1478,9406,3888,10723,963,3139,4531,5197,1158,8969,8,1133,2375,3254,3929,78198
