,ANTONIO_NARINO,BARRIOS_UNIDOS,BOSA,CANDELARIA,CARCELES,CHAPINERO,CIUDAD_BOLIVAR,CORFERIAS,ENGATIVA,FONTIBON,KENNEDY,MARTIRES,PUENTE_ARANDA,RAFAEL_URIBE_URIBE,SAN_CRISTOBAL,SANTA_FE,SUBA,SUMAPAZ,TEUSAQUILLO,TUNJUELITO,USAQUEN,USME,Total Bogota
Nulos,2788.0,3070.0,16235.0,929.0,18.0,1809.0,15437.0,3244.0,17137.0,8060.0,22087.0,1867.0,5918.0,9393.0,11086.0,2377.0,17112.0,48.0,2159.0,4771.0,6407.0,8385.0,160337.0
No_Marcados,963.0,906.0,5929.0,519.0,16.0,562.0,7837.0,585.0,5056.0,2336.0,7228.0,890.0,1940.0,4077.0,4016.0,1116.0,5723.0,53.0,608.0,1762.0,2190.0,4701.0,59013.0
Votos validos Circuns. Indigena,1840.0,1988.0,8534.0,733.0,29.0,1131.0,8002.0,1888.0,10906.0,4595.0,12856.0,1176.0,3762.0,5437.0,6271.0,1545.0,10751.0,9.0,1683.0,2847.0,3979.0,4844.0,94806.0
Votos validos Circuns. Nacional,49449.0,76457.0,154838.0,18142.0,490.0,81489.0,145785.0,49668.0,285390.0,125411.0,299741.0,36884.0,109157.0,107920.0,106562.0,34916.0,352525.0,1053.0,90742.0,64736.0,220456.0,81992.0,2493803.0
Total Votantes*Validos+Nulos+No Marcados*,55040.0,82421.0,185536.0,20323.0,553.0,84991.0,177061.0,55385.0,318489.0,140402.0,341912.0,40817.0,120777.0,126827.0,127935.0,39954.0,386111.0,1163.0,95192.0,74116.0,233032.0,99922.0,2807959.0
Potencial votantes,107830.0,151739.0,395687.0,44226.0,1165.0,164621.0,394705.0,469320.0,551261.0,243012.0,635825.0,89423.0,217762.0,256913.0,268972.0,90533.0,667031.0,2938.0,163008.0,152592.0,402673.0,219701.0,5690937.0
Porcentaje votantes(%),51.04,54.32,46.89,45.95,47.47,51.63,44.86,11.80,57.77,57.78,53.77,45.64,55.46,49.37,47.56,44.13,57.89,39.58,58.40,48.57,57.87,45.48,49.34
