Localidad:FONTIBON,Referencia:
P_Liberal,-
P_Conservador,-
P_Opcion_Ciudadana,-
P_Cambio_Radical,-
P_Alianza_Verde,-
P_MIRA,-
P_de_la_U,-
Polo,-
P_Centro_Democratico,-
P_SOMOS,-
FARC,-
Colombia_Justa_Libres,-
SI_SE_PUEDE,-
Union_con_Fortaleza,-
Todos_somos_Colombia,-
Coalicion_Decencia,-
Voto_Blanco_Nacional,-
AICO,-
ASI,-
MAIS,-
SOBERANIA,-
MIA,-
RenovacionEtnica,-
CASIYOUREN,-
Voto_Blanco_Indigena,-
Nulos,-
No_Marcados,-
